거래 #,타입,날짜 및 시간,신호,가격 USDT,포지션 크기 (수량),포지션 크기 (가치),순손익 KRW,순손익 %,유리한 변동 KRW,유리한 변동 %,불리한 변동 KRW,불리한 변동 %,누적 손익 KRW,누적 손익 %
18,매수 청산,2026-02-18 01:02:00,S_4664,67765.8,0.009,606.4812,4150.97,0.46,4602.59,0.51,-11389.54,-1.27,53531.53,1.07
18,매수 진입,2026-02-17 23:40:30,L_2110,67386.8,0.009,606.4812,4150.97,0.46,4602.59,0.51,-11389.54,-1.27,53531.53,1.07
19,매도 청산,2026-02-18 08:08:30,L_5588,67398.3,0.009,609.8922,3997.61,0.44,11812.39,1.31,-6412.35,-0.71,57529.14,1.15
19,매도 진입,2026-02-18 01:02:00,S_4664,67765.8,0.009,609.8922,3997.61,0.44,11812.39,1.31,-6412.35,-0.71,57529.14,1.15
20,매수 청산,2026-02-18 11:37:00,S_5950,67394.3,0.009,606.5847,-951.3,-0.11,2217.49,0.25,-7619.33,-0.85,56577.84,1.13
20,매수 진입,2026-02-18 08:08:30,L_5588,67398.3,0.009,606.5847,-951.3,-0.11,2217.49,0.25,-7619.33,-0.85,56577.84,1.13
21,매도 청산,2026-02-18 14:29:30,L_6405,67678.6,0.009,606.5487,-4686.46,-0.52,1686.35,0.19,-7184.77,-0.80,50540.2,1.01
21,매도 진입,2026-02-18 11:37:00,S_5950,67394.3,0.009,606.5487,-4686.46,-0.52,1686.35,0.19,-7184.77,-0.80,50540.2,1.01
22,매도 청산,2026-02-18 14:29:30,L_6405,67678.6,0.009,607.3992,-3428.35,-0.38,68.67,0.01,-5926.66,-0.66,47561.33,0.95
22,매도 진입,2026-02-18 12:27:00,S_5906,67488.8,0.009,607.3992,-3428.35,-0.38,68.67,0.01,-5926.66,-0.66,47561.33,0.95
23,매도 청산,2026-02-18 14:29:30,L_6405,67678.6,0.009,607.4244,-3391.07,-0.38,105.95,0.01,-5889.38,-0.65,44619.75,0.89
23,매도 진입,2026-02-18 12:27:00,S_5865,67491.6,0.009,607.4244,-3391.07,-0.38,105.95,0.01,-5889.38,-0.65,44619.75,0.89
24,매도 청산,2026-02-18 14:29:30,L_6405,67678.6,0.009,611.0865,2026.12,0.22,2476.86,0.27,-472.18,-0.05,47098.07,0.94
24,매도 진입,2026-02-18 14:21:00,S_5465,67898.5,0.009,611.0865,2026.12,0.22,2476.86,0.27,-472.18,-0.05,47098.07,0.94
25,매수 청산,2026-02-18 15:43:30,S_6456,67889,0.009,609.1074,1899.65,0.21,2351.79,0.26,-2013.18,-0.22,48997.72,0.98
25,매수 진입,2026-02-18 14:29:30,L_6405,67678.6,0.009,609.1074,1899.65,0.21,2351.79,0.26,-2013.18,-0.22,48997.72,0.98
26,매도 청산,2026-02-18 20:08:30,L_6539,67258.5,0.009,611.001,7498.18,0.83,7946.12,0.88,-7751.5,-0.86,55586.51,1.11
26,매도 진입,2026-02-18 15:43:30,S_6456,67889,0.009,611.001,7498.18,0.83,7946.12,0.88,-7751.5,-0.86,55586.51,1.11
27,매도 청산,2026-02-18 20:08:30,L_6539,67258.5,0.009,613.17,10706.69,1.18,11154.63,1.23,-4542.99,-0.50,66746.95,1.33
27,매도 진입,2026-02-18 16:47:00,S_6628,68130,0.009,613.17,10706.69,1.18,11154.63,1.23,-4542.99,-0.50,66746.95,1.33
28,매도 청산,2026-02-18 20:08:30,L_6539,67258.5,0.009,615.7332,14498.33,1.59,14946.27,1.64,-751.35,-0.08,81700.92,1.63
28,매도 진입,2026-02-18 17:18:30,S_6431,68414.8,0.009,615.7332,14498.33,1.59,14946.27,1.64,-751.35,-0.08,81700.92,1.63
29,매수 청산,2026-02-19 00:02:00,S_7433,67408.1,0.009,605.3265,1095.79,0.12,5034.57,0.56,-8134.91,-0.91,81901.61,1.64
29,매수 진입,2026-02-18 20:08:30,L_6539,67258.5,0.009,605.3265,1095.79,0.12,5034.57,0.56,-8134.91,-0.91,81901.61,1.64
30,매수 청산,2026-02-19 00:02:00,S_7433,67408.1,0.009,604.9107,1711.48,0.19,5650.26,0.63,-7519.22,-0.84,84060.73,1.68
30,매수 진입,2026-02-18 20:09:00,L_6701,67212.3,0.009,604.9107,1711.48,0.19,5650.26,0.63,-7519.22,-0.84,84060.73,1.68
31,매수 청산,2026-02-19 00:02:00,S_7433,67408.1,0.009,604.6974,2027.33,0.23,5966.1,0.67,-7203.38,-0.80,86535.53,1.73
31,매수 진입,2026-02-18 20:09:00,L_6199,67188.6,0.009,604.6974,2027.33,0.23,5966.1,0.67,-7203.38,-0.80,86535.53,1.73
32,매도 청산,2026-02-19 03:42:30,L_4794,66515.9,0.009,606.6729,10992.17,1.22,11435.17,1.27,-12666.04,-1.41,96170.14,1.92
32,매도 진입,2026-02-19 00:02:00,S_7433,67408.1,0.009,606.6729,10992.17,1.22,11435.17,1.27,-12666.04,-1.41,96170.14,1.92
33,매도 청산,2026-02-19 03:42:30,L_4794,66515.9,0.009,609.5196,15203.18,1.68,15646.18,1.73,-8455.03,-0.94,111824.37,2.24
33,매도 진입,2026-02-19 00:37:00,S_7404,67724.4,0.009,609.5196,15203.18,1.68,15646.18,1.73,-8455.03,-0.94,111824.37,2.24
34,매도 청산,2026-02-19 03:42:30,L_4794,66515.9,0.009,611.0496,17466.45,1.93,17909.44,1.98,-6191.76,-0.68,129742.99,2.59
34,매도 진입,2026-02-19 00:37:30,S_7418,67894.4,0.009,611.0496,17466.45,1.93,17909.44,1.98,-6191.76,-0.68,129742.99,2.59
35,매도 청산,2026-02-19 03:42:30,L_4794,66515.9,0.009,613.9656,21779.97,2.40,22222.97,2.44,-1878.24,-0.21,151977.3,3.04
35,매도 진입,2026-02-19 00:40:30,S_7013,68218.4,0.009,613.9656,21779.97,2.40,22222.97,2.44,-1878.24,-0.21,151977.3,3.04
36,매수 청산,2026-02-19 03:42:30,Margin call,66417.5,0.006692,445.1244028,-1632.87,-0.25,0,0.00,-1303.96,-0.20,148016.92,2.96
36,매수 진입,2026-02-19 03:42:30,L_4794,66515.9,0.006692,445.1244028,-1632.87,-0.25,0,0.00,-1303.96,-0.20,148016.92,2.96
37,매수 청산,2026-02-19 11:17:00,S_8394,66874.3,0.002308,153.5186972,999.42,0.44,1113.94,0.49,-2468.14,-1.09,149129.95,2.98
37,매수 진입,2026-02-19 03:42:30,L_4794,66515.9,0.002308,153.5186972,999.42,0.44,1113.94,0.49,-2468.14,-1.09,149129.95,2.98
38,매수 청산,2026-02-19 11:17:00,S_8394,66874.3,0.045,2991.7575,21650.79,0.49,23883.72,0.54,-45963.44,-1.04,172994.64,3.46
38,매수 진입,2026-02-19 03:42:30,L_5111,66483.5,0.045,2991.7575,21650.79,0.49,23883.72,0.54,-45963.44,-1.04,172994.64,3.46
39,매도 청산,2026-02-19 17:32:30,L_9394,66765.6,0.009,601.8687,559.35,0.06,3043.34,0.34,-6000.01,-0.67,173106.77,3.46
39,매도 진입,2026-02-19 11:17:00,S_8394,66874.3,0.009,601.8687,559.35,0.06,3043.34,0.34,-6000.01,-0.67,173106.77,3.46
